Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,895.877995851542,988.44315979422,972.679345110246,985.095322000684,1024.66835402191,775.695090525313,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,12785.0518749485,14582.1705198579,15253.3308268878,15764.7554534036,14566.1490549183,13383.8767996662,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,4514.94052013381,5574.18709336902,6264.64387793993,6991.85386564447,7587.28973166335,7924.65395661835,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6250.65449979147,7227.77082955644,7885.06129230214,8030.69086053799,7918.07890039352,6056.14771720405,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,739.897790576235,790.568095579413,750.314608600501,796.764538376469,810.075760030612,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",ZAR,311.247895988429,350.270654249723,390.706603504699,413.695798374815,437.814931178272,456.052740548312,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2953.18500787675,3453.22122885647,3191.16429881094,3205.4577827894,3147.07152408764,1851.19991555492,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,7985.95103532732,8963.68005199175,9733.39693054024,10461.5775053474,10415.4566496773,10629.8443220455,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,1236.08519806872,1231.86783405173,1281.38286516731,1447.22282098015,1545.94224925162,1398.69458900615,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,13509.1858157682,14542.1775991872,13235.9775701749,13574.9780420161,13480.6507536281,11535.8293558997,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,5688.66673216525,6092.61390179952,6448.1556351432,6789.84959742592,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,30438.9001948061,31836.6195112171,28868.2738161645,27909.107205255,27245.7446249009,22957.3979825514,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,19763.9637984737,21656.9414181786,19640.9286597038,19813.8715746383,19502.4173306083,17231.2817109642,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,57647.668762065,61304.0612046553,58125.3648186912,60361.7387715794,61330.9126252044,52002.1510437879,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,1358.46050004911,1472.01420497368,1586.78013328429,1683.42992283707,1813.59622614428,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,6937.2560836301,7023.35342821604,6768.29441564044,7036.54838784344,7251.83505895688,7399.25395951813,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,5441.96574880243,5820.39629964542,5967.0009840488,5952.32900678338,6147.3435691579,6373.55355280729,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,4657.30173745799,5223.37757490143,5702.16828789377,6051.61112938686,6345.84072505948,6248.11087312643,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,2668.03598826159,2816.66694347778,3226.13137881998,3264.45006267526,3365.70742057477,3614.74676616271,..
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3547.07098315322,3821.33858985521,3921.72039511659,3998.73949938617,4102.0638517964,4219.35032953932,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,17441.0925450303,22944.9262899318,23278.2300613417,21497.894425719,18918.2768313328,11120.8579902839,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,451.426693297243,544.462431141676,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,14641.4031443742,17453.7537611724,17490.9931300409,19155.4212505428,20147.7782167553,17295.36383043,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,341.85895616943,355.588991513187,469.792303889824,503.902606586893,573.565960346077,619.143563112135,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,47381.5227624969,50910.4340505074,48695.1711837983,54117.8444148388,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,3651.9582906354,4351.91933412407,4550.26709452374,4765.84402994337,5112.38189037251,4916.25099567297,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,46205.1660111855,50787.5649828531,47415.5598711351,49638.0771298139,49864.5762453579,41920.7977456941,..
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40705.7662299421,43807.4759032413,40838.024436834,42571.1979897409,42546.8387870273,36248.1801907194,..
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,9312.04946268888,11530.1472010731,10642.4322523013,10658.7727292505,10772.0617537637,8311.47651219177,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,562.568166142471,516.984254988416,504.989013819816,484.112864967249,441.293817014382,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,2964.47704802208,3725.06322121592,4142.8691753655,4274.37687295064,4429.65007451491,3795.97330845042,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,41788.0447853084,45936.0812598523,44010.9313869814,45600.7745095204,47767.0019056435,41219.049207038,..
